카드이름,은행,이미지URL,전월실적,연회비,카드종류,혜택
삼성 iD SELECT ALL 카드,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/2885/card_img/44212/2885card_1.png,400000,"국내전용 [20,000]원 / 해외겸용 [20,000]원",신용,"{'해외': '해외 가맹점 및 직접구매 시 2% 결제일 할인 제공.', '기타 혜택(유의사항 등)': '선택한 옵션에 따라 다양한 할인 혜택을 제공하며, 전월 이용금액에 따라 할인 한도가 달라집니다.'}"
KB국민 My WE:SH 카드,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/2441/card_img/37123/2441card_3.png,400000,"국내전용 [15,000]원 / 해외겸용 [15,000]원",신용,"{'통신': '이동통신 자동납부 요금 10% 할인 (SKT, KT, LG U+, Liiv M).', '푸드': '음식점과 편의점에서 10% 할인 혜택 제공.', '간편결제': 'KB Pay로 국내 가맹점에서 결제 시 10% 할인.', '기타 혜택(유의사항 등)': '- OTT 30% 할인, 배달/커피 5% 할인, 택시/커피 5% 및 영화관 30% 할인, 미용실/스포츠/온라인서점/올리브영 5% 할인 제공.'}"
삼성카드 taptap O,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/51/card_img/37691/51card.png,300000,"국내전용 [10,000]원 / 해외겸용 [10,000]원",신용,"{'교통': '대중교통 및 택시 이용 시 10% 청구할인, 월 최대 5,000원 한도.', '통신': 'SKT·KT·LG U+ 이동통신요금 자동납부 시 10% 청구할인 제공, 월 최대 5,000원.', 'OTT/영화/문화': 'CGV 및 롯데시네마에서 10,000원 이상 결제 시 5,000원 청구할인 제공, 전월 이용금액 30만원 이상 시 이용 가능.', '해외': '해외 가맹점 및 직접구매 이용 시 1.3% 빅포인트 적립 (전월 이용금액 무관, 적립한도 없음).', '기타 혜택(유의사항 등)': '라이프스타일에 맞춘 옵션 패키지 선택 시 업종별 결제일 할인 또는 빅포인트 적립 혜택 제공.'}"
THE 1 (스카이패스),삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/1909/card_img/28087/1909card.png,300000,"국내전용 [245,000]원 / 해외겸용 [250,000]원",신용,"{'카페/디저트': '스타벅스 1만원 이상 결제 시 2,000원 청구할인, 월 2회, 연 12회 제공.', '프리미엄': '아멕스 PLATINUM ELITE 회원에게 제공되는 무료 호텔·공항 발렛파킹, 인천공항 라운지 이용, 주차 무료, 커피 무료, 공항 리무진 및 철도 티켓 무료, 도서 할인 혜택.', '기타 혜택(유의사항 등)': '삼성카드로 기프트 옵션 서비스(신세계상품권, 대한항공 항공권, 호텔 식사권, 여행 할인)를 연 1회 신청 가능하며, 특정 이용 조건을 충족해야 제공됩니다.'}"
신한카드 처음(ANNIVERSE),신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/2759/card_img/37240/2759card.png,300000,"국내전용 [15,000]원 / 해외겸용 [18,000]원",신용,"{'기타 혜택(유의사항 등)': '신한카드 처음은 다양한 소비처에서 5% 적립, 정기결제 시 최대 20% 적립, 소비관리 보너스 적립 서비스를 제공하며, 월 통합 적립 한도에 따라 포인트가 적립됩니다.'}"
신한카드 Discount Plan+,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/2835/card_img/41600/2835card.png,400000,"국내전용 [50,000]원 / 해외겸용 [50,000]원",신용,"{'교통': '교통 영역에서 주유, 카쉐어링, 주차, 택시 이용 시 5% 할인, 각 영역별로 일 1회, 월 5회까지 적용.', '쇼핑': '쇼핑 영역에서 마트, 온라인쇼핑, 아울렛, 잡화에서 각각 일 1회, 월 5회 10% 할인 제공.', 'OTT/영화/문화': 'CGV, 롯데시네마 영화 예매 시 월 1회 5천원 할인(1만 2천원 이상 결제 시).', '기타 혜택(유의사항 등)': '- Time Plan 서비스: DAY(카페/음식점) 및 NIGHT(편의점/배달앱)에서 각각 10% 할인, 일 1회, 최대 1만원까지.\n- Daily Plan 서비스: 해외, 병원·약국, 미용실, 온라인서점에서 5% 할인, 일 1회, 월 5회, 최대 5만원까지.\n- Plan Day 서비스: 매월 1일 Time Plan 및 Daily Plan 첫 거래에 할인율 2배 적용.\n- Monthly Plan 서비스: 공과금 10%, 디지털구독·멤버십 20%, 피트니스 5% 할인, 각 영역별 최대 금액 한도 적용.\n- Annual Plan 서비스: 마트 3만원 이상 결제 시 3만원 캐시백, 연 1회 제공.\n- Annual Plan 서비스: 스피드메이트 엔진오일 및 차량정비 할인, 테마파크 할인 제공.'}"
카드의정석2,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/2848/card_img/45022/2848card_1.png,500000,"국내전용 [22,000]원 / 해외겸용 [22,000]원",신용,"{'기타 혜택(유의사항 등)': '국내외 가맹점 1.2% 청구할인과 분기별 최대 15,000원 청구할인이 제공되며, 전월 실적에 따라 할인 조건이 달라집니다.'}"
LOCA 365 카드,롯데카드,https://d1c5n4ri2guedi.cloudfront.net/card/2330/card_img/24131/2330card.png,500000,"국내전용 [20,000]원 / 해외겸용 [20,000]원",신용,"{'교통': '대중교통 10% 할인(지하철, 시내버스, 할인한도 5,000원, 50만원 이상 이용 시 제공).', '통신': 'SKT, KT, LG U+ 이동통신요금 자동납부 시 10% 할인(최대 5,000원).', '공과금/렌탈': '아파트 관리비 및 공과금(도시가스비, 전기료) 자동납부 시 10% 할인, 할인한도 5,000원.', '기타 혜택(유의사항 등)': '- 배달앱: 배달의 민족, 요기요, 쿠팡이츠 10% 할인 (최대 5,000원, 50만원 이상 이용 시, 2만원 이상 결제 시 적용).\n- 보험사: 생명보험, 손해보험 10% 할인 (최대 5,000원, 50만원 이상 이용 시, 2만원 이상 자동납부 시 적용).\n- 학습지: 학습지 10% 할인 (최대 5,000원, 50만원 이상 이용 시, 2만원 이상 오프라인 결제 시 적용).\n- 디지털구독: 넷플릭스, 유튜브 등 1,500원 할인 (월 1회, 50만원 이상 이용 시, 정기결제 시 적용).\n- 무이자할부: 국내 가맹점 5만원 이상 결제 시 2~3개월 무이자 할부 제공.'}"
신한카드 Mr.Life,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/13/card_img/28201/13card.png,300000,"해외겸용 [15,000]원",신용,"{'주유': '주말에 4대 정유사에서 리터당 60원 할인, 월 최대 1만원까지 제공.', '마트/편의점': '- 편의점: 전월 실적에 따라 최대 10% 할인, 월 5회, 1회 최대 1천원 할인.\n- 대형마트: 주말에 10% 할인, 월 1회, 1회 최대 5천원 할인.', '쇼핑': '- 온라인 쇼핑: 오후 9시~오전 9시 10% 할인, 월 10회, 1회 최대 1천원 할인.\n- 인테이크몰: 월 4회 20% 할인, 신규 회원은 실적 관계없이 할인.', '푸드': 'Night 할인서비스 10% 및 식음료 10% 할인, 월 10회, 1회 최대 1천원 할인 적용.', '공과금/렌탈': '월납 공과금 10% 할인 서비스 제공, 1회 최대 5천원 할인, 전월 실적에 따라 할인 한도 다름.', '병원/약국': '병원/약국에서 10% 할인, 월 5회, 1회 최대 1천원 할인 적용.', '기타 혜택(유의사항 등)': '생활 및 택시 이용 시 각각 10% 할인, 월 할인 한도는 전월 실적에 따라 최대 3만원까지 제공.'}"
카드의정석 SHOPPING+,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/2687/card_img/33239/2687card.png,300000,"국내전용 [10,000]원 / 해외겸용 [12,000]원",신용,"{'주유': '4대 주유소 주말 주유 시 리터당 60원 청구할인 (전월 30만원 이상 이용 시, LPG 제외).', '쇼핑': '- 온라인 쇼핑: 전월 30만원 이상 이용 시 10% 청구할인, 매출 건당 5만원까지 할인, 4대 PAY 결제 시 최대 7,500원 할인.\n- 오프라인 쇼핑: 전월 30만원 이상 이용 시 10% 청구할인, 매출 건당 5만원까지 할인.', '카페/디저트': '스타벅스, 폴바셋에서 매출 건당 1천원까지, 통합 월 5천원 한도로 10% 청구할인 제공.', '간편결제': '온라인 업종 4대 PAY 결제 시 전월 30만원 이상 이용 시 5% 추가할인 제공.', '기타 혜택(유의사항 등)': 'Two-in-One 결제서비스를 통해 사전 지정 금액 이하를 체크로, 초과분을 신용으로 결제하며, 전월 국내 가맹점 이용금액에 따라 온라인 최대 16천원, 오프라인 최대 24천원 할인 제공.'}"
쿠팡 와우카드,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/2609/card_img/47154/2609card.png,0,"국내전용 [20,000]원 / 해외겸용 [20,000]원",신용,"{'기타 혜택(유의사항 등)': '쿠팡, 쿠팡이츠, 쿠팡플레이 이용 시 최대 4% 쿠팡캐시 적립, 국내외 가맹점 이용 시 최대 1.2% 적립.'}"
